,CBR,Drop Rate %,RTT (Sec),TCP,TCP Start (Sec),Throughput (Mbps),Time (Sec)
260,2.0,0.0,0.0658089144162037,Agent/TCP/Reno,3.965939,2.6205092328651114,19.999586
261,2.0,0.0,0.0657972834577333,Agent/TCP/Reno,1.704613,2.6241827225036443,19.998583
262,2.0,0.0,0.06578965707472187,Agent/TCP/Reno,0.065125,2.625472072672828,19.997967
263,2.0,0.0,0.06580060175922782,Agent/TCP/Reno,1.583113,2.624832125006238,19.999346
264,2.0,0.0,0.06580938955979775,Agent/TCP/Reno,3.654974,2.6216751221298797,19.998845
265,2.0,0.0,0.06579901644100633,Agent/TCP/Reno,3.567428,2.6186270427432845,19.993868
266,2.0,0.0,0.06579178852931751,Agent/TCP/Reno,0.202114,2.6265927851071895,19.999747
267,2.0,0.0,0.06580405595959636,Agent/TCP/Reno,4.261051,2.616806586747856,19.99944
268,2.0,0.0,0.0658072730311262,Agent/TCP/Reno,4.766196,2.6161047667605173,19.999959
269,2.0,0.0,0.06579790349514625,Agent/TCP/Reno,3.626317,2.618076010088748,19.999012
270,2.5,0.0,0.06580607193460494,Agent/TCP/Reno,2.512695,2.621587066091746,19.999629
271,2.5,0.0,0.06580481710296697,Agent/TCP/Reno,1.812143,2.621789342057027,19.995877
272,2.5,0.0,0.06580767679558026,Agent/TCP/Reno,2.723307,2.6246782846913055,19.999451
273,2.5,0.0,0.06581614057188563,Agent/TCP/Reno,4.083164,2.6189152901454045,19.999494
274,2.5,0.0,0.06580204360280022,Agent/TCP/Reno,0.070798,2.6259990419915016,19.99964
275,2.5,0.0,0.06580074372019086,Agent/TCP/Reno,0.06089,2.6249804693133103,19.997465
276,2.5,0.0,0.0658041871612465,Agent/TCP/Reno,1.26122,2.6241022720383627,19.999636
277,2.5,0.0,0.06581498824644558,Agent/TCP/Reno,3.2141,2.622161046111494,19.999156
278,2.5,0.0,0.06581656438572302,Agent/TCP/Reno,3.846515,2.6217832805622705,19.999307
279,2.5,0.0,0.06581672271762236,Agent/TCP/Reno,4.978684,2.619420136000057,19.999413
280,3.0,0.0,0.06582655631599515,Agent/TCP/Reno,3.715474,2.6212025976251176,19.998809
281,3.0,0.0,0.06581526248690182,Agent/TCP/Reno,1.818518,2.622247492197296,19.999075
282,3.0,0.0,0.06582385371300947,Agent/TCP/Reno,2.903167,2.62317405609711,19.998914
283,3.0,0.0,0.06581112045129464,Agent/TCP/Reno,0.02286,2.628196460532914,19.998353
284,3.0,0.0,0.06581631896266903,Agent/TCP/Reno,0.772031,2.626674570884303,19.998897
285,3.0,0.0,0.06581358475559208,Agent/TCP/Reno,0.833767,2.6263107012871796,19.999938
